Electric Utility,UtilityID
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PARKLAND LIGHT & WATER COMPANY|PENINSULA LIGHT COMPANY,19
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,20
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,21
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,22
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,23
"BONNEVILLE POWER ADMINISTRATION||COLUMBIA RURAL ELEC ASSN, INC",24
BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,25
"BONNEVILLE POWER ADMINISTRATION||NESPELEM VALLEY ELEC COOP, INC",26
BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,27
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,28
"BONNEVILLE POWER ADMINISTRATION||PACIFICORP||COLUMBIA RURAL ELEC ASSN, INC",29
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),30
BONNEVILLE POWER ADMINISTRATION||PENINSULA LIGHT COMPANY,31
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,32
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF ASOTIN COUNTY,33
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF ASOTIN COUNTY||INLAND POWER & LIGHT COMPANY,34
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,35
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,36
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY|PUD NO 1 OF JEFFERSON COUNTY,37
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),38
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,39
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FERRY COUNTY,40
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,41
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,42
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF JEFFERSON COUNTY,43
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KITTITAS COUNTY,44
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,45
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF MASON COUNTY|PUD NO 1 OF JEFFERSON COUNTY,46
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,47
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF WAHKIAKUM COUNTY,48
BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,49
BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,50
BONNEVILLE POWER ADMINISTRATION||TOWN OF EATONVILLE - (WA)|CITY OF TACOMA - (WA),51
BONNEVILLE POWER ADMINISTRATION||TOWN OF RUSTON - (WA)|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,52
BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53
BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,54
CITY OF BLAINE - (WA)||PUD NO 1 OF WHATCOM COUNTY,55
CITY OF CHENEY - (WA),56
CITY OF CHEWELAH,57
CITY OF SEATTLE - (WA),58
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),59
CITY OF SUMAS - (WA)||PUD NO 1 OF WHATCOM COUNTY,60
CITY OF TACOMA - (WA),61
CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,62
MODERN ELECTRIC WATER COMPANY,63
NO KNOWN ELECTRIC UTILITY SERVICE,64
NON WASHINGTON STATE ELECTRIC UTILITY,65
"OKANOGAN COUNTY ELEC COOP, INC",66
PACIFICORP,67
PORTLAND GENERAL ELECTRIC CO,68
PUD NO 1 OF CHELAN COUNTY,69
PUD NO 1 OF DOUGLAS COUNTY,70
PUD NO 1 OF OKANOGAN COUNTY,71
PUD NO 1 OF PEND OREILLE COUNTY,72
PUD NO 1 OF WHATCOM COUNTY,73
PUD NO 2 OF GRANT COUNTY,74
PUGET SOUND ENERGY INC,75
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),76
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,77
Unknown,78
